% NaN,Year,Start,End,Time intervals
0.0,1959,1959-01-01,1959-12-31,"['00:59:59', '01:00:00']"
0.0,1960,1960-01-01,1960-12-31,"['00:59:59', '01:00:00']"
0.0,1961,1961-01-01,1961-12-31,"['01:00:00', '00:59:59']"
0.0,1962,1962-01-01,1962-12-31,"['00:59:59', '01:00:00']"
0.0,1963,1963-01-01,1963-12-31,"['01:00:00', '00:59:59']"
0.0,1964,1964-01-01,1964-12-31,"['00:59:59', '01:00:00']"
0.0,1965,1965-01-01,1965-12-31,"['01:00:00', '00:59:59']"
0.0,1966,1966-01-01,1966-12-31,"['01:00:00', '00:59:59']"
0.0,1967,1967-01-01,1967-12-31,"['00:59:59', '01:00:00']"
0.0,1968,1968-01-01,1968-12-31,"['01:00:00', '00:59:59']"
0.0,1969,1969-01-01,1969-12-31,"['00:59:59', '01:00:00']"
0.0,1970,1970-01-01,1970-12-31,"['00:59:59', '01:00:00']"
0.0,1971,1971-01-01,1971-12-31,"['01:00:00', '00:59:59']"
0.0,1972,1972-01-01,1972-12-31,"['00:59:59', '01:00:00']"
0.0,1973,1973-01-01,1973-12-31,"['01:00:00', '00:59:59']"
0.0,1974,1974-01-01,1974-12-31,"['01:00:00', '00:59:59']"
0.0,1975,1975-01-01,1975-12-31,"['00:59:59', '01:00:00']"
0.0,1976,1976-01-01,1976-12-31,"['01:00:00', '00:59:59']"
0.0,1977,1977-01-01,1977-12-31,"['00:59:59', '01:00:00']"
0.0,1978,1978-01-01,1978-12-31,"['00:59:59', '01:00:00']"
0.0,1979,1979-01-01,1979-12-31,"['01:00:00', '00:59:59']"
0.0,1980,1980-01-01,1980-12-31,"['01:00:00', '00:59:59']"
0.0,1981,1981-01-01,1981-12-31,"['01:00:00', '00:59:59']"
0.0,1982,1982-01-01,1982-12-31,"['00:59:59', '01:00:00']"
0.0,1983,1983-01-01,1983-12-31,"['00:59:59', '01:00:00']"
0.0,1984,1984-01-01,1984-12-31,"['01:00:00', '00:59:59']"
0.0,1985,1985-01-01,1985-12-31,"['00:59:59', '01:00:00']"
0.0,1986,1986-01-01,1986-12-31,"['00:59:59', '01:00:00']"
0.0,1987,1987-01-01,1987-12-31,"['00:59:59', '01:00:00']"
0.0,1988,1988-01-01,1988-12-31,"['01:00:00', '00:59:59']"
0.0,1989,1989-01-01,1989-12-31,"['01:00:00', '00:59:59']"
0.0,1990,1990-01-01,1990-12-31,"['01:00:00', '00:59:59']"
0.0,1991,1991-01-01,1991-12-31,"['00:59:59', '01:00:00']"
0.0,1992,1992-01-01,1992-12-31,"['01:00:00', '00:59:59']"
0.0,1993,1993-01-01,1993-12-31,"['01:00:00', '00:59:59']"
0.0,1994,1994-01-01,1994-12-31,"['01:00:00', '00:59:59']"
0.0,1995,1995-01-01,1995-12-31,"['01:00:00', '00:59:59']"
0.0,1996,1996-01-01,1996-12-31,"['00:59:59', '01:00:00']"
0.0,1997,1997-01-01,1997-12-31,"['00:59:59', '01:00:00']"
0.0,1998,1998-01-01,1998-12-31,"['00:59:59', '01:00:00']"
0.0,1999,1999-01-01,1999-12-31,"['00:59:59', '01:00:00']"
0.0,2000,2000-01-01,2000-12-31,"['01:00:00', '00:59:59']"
0.0,2001,2001-01-01,2001-12-31,"['01:00:00', '00:59:59']"
